original_name,vlink,releasedate,members,group_name
[핑크판타지/Pinkfantasy]  '이리와' Dance Practice (할로윈버젼/Halloween ver.),6HXo6nW1SXQ,2018-10-28,female,Pink Fantasy
AOA - 심쿵해(Heart Attack) 안무영상(Dance Practice) Eye Contact ver.,1e7wlqRXsDc,2015-07-29,female,AOA
AOA - 사뿐사뿐 (Like a Cat) 안무영상(Dance Practice) Eye Contact ver.,TCK1wrokxAM,2014-11-23,female,AOA
AOA - 사뿐사뿐(Like a Cat) 안무영상(Dance Practice) Full ver,bD3Q2RA8EXM,2017-08-18,female,AOA
DREAMCATCHER -「Breaking Out」Dance Practice,25tHtjkRg1o,2019-09-17,female,Dreamcatcher
[핑크판타지] 'Fantasy'  안무 영상 Fantasy Dance Practice (PinkFantasy),AYPXnyJTcFg,2019-09-21,female,Pink Fantasy
라붐(LABOUM) - 'Firework' DANCE PRACTICE VIDEO,7pJaLrW1Cp0,2019-09-22,female,Laboum
3YE(써드아이)-OOMM (Out Of My Mind) Dance Practice Video,bDZpyqGNW08,2019-09-26,female,3YE
Jessi (제시) - 'Who Dat B' Dance Practice,GXc4J8VQwH0,2019-09-28,female,Jessi
"TWICE ""Feel Special"" Dance Practice Video",MPD36TJJFmY,2019-10-02,female,Twice
[EVERGLOW] You Don't Know Me Dance Practice,pBaORvznpuE,2019-10-24,female,Everglow
TAEYEON 태연 '불티 (Spark)' Dance Practice,AB1N_ahk3C8,2019-10-30,female,Taeyeon
현아 (HyunA) - 'FLOWER SHOWER' Dance Practice,P-vg-d9t6Jk,2019-11-08,female,Hyuna
HINAPIA(희나피아) - 'DRIP' Dance Practice,Gfkh_fKx8wc,2019-11-09,female,Hinapia
"MOMOLAND(모모랜드) - ""어마어마해(EDM Ver)"" Dance Practice",PrQUdlTgLv8,2017-06-09,female,Momoland
"BVNDIT(밴디트) - ""Dumb"" Dance Practice (Christmas ver.)",VZcQE02rb94,2019-12-23,female,BVNDIT
"모모랜드(MOMOLAND) ""Thumbs Up"" Moving Dance Practice",d8PX2Y5FvAo,2020-01-10,female,Momoland
"모모랜드(MOMOLAND) ""Thumbs Up"" Dance Practice",TrJzJkuEEOw,2020-01-16,female,Momoland
[드림노트] '바라다(WISH)' Dance Practice (한복 ver.),c32LkzhtOjg,2020-01-24,female,DreamNote
시그니처 (cignature) - ‘눈누난나 (Nun Nu Nan Na)’ Special Dance Practice Video,IuM0_vZGGUM,2020-01-30,female,cignature
여자친구 GFRIEND - 교차로 (Crossroads) Dance Practice ver.,Cluo9eJZi5I,2020-02-05,female,GFriend
시그니처(cignature) - '눈누난나 (Nun Nu Nan Na)' Dance Practice Video,PXXnjhyN_Gk,2020-02-05,female,cignature
[EVERGLOW] DUN DUN Dance Practice,ghUjmkl1U8Q,2020-02-07,female,Everglow
"BVNDIT(밴디트) - ""Cool"" Dance Practice",gwthvat6DLo,2020-02-07,female,BVNDIT
여자친구 GFRIEND - 'Labyrinth (래버린스)' Dance Practice ver.,lSK9kQObdLc,2020-02-08,female,GFriend
[EVERGLOW] SALUTE Dance Practice,cJ2zKUkj5Co,2020-02-08,female,Everglow
브레이브걸스 - 변했어 사복 안무영상 / Brave Girls - Deepened Dance Practice Video,geCuvmxY2ms,2016-03-10,female,BB GIRLS
브레이브걸스 (Brave Girls) - 롤린 (Rollin') Dance Practice Video (사복 ver.),ZhuDSdmby8k,2017-03-10,female,BB GIRLS
브레이브걸스 (Brave Girls) - 하이힐 (High Heels) Official Dance Practice Video,xVZ1pGhnWr4,2016-07-08,female,BB GIRLS
체리블렛 (Cherry Bullet) – 무릎을 탁 치고 (Hands Up) DANCE PRACTICE,FxJ9YdNgqn4,2020-02-12,female,Cherry Bullet
엘리스(ELRIS) - 'JACKPOT' dance practice video,tyupeFwCJmY,2020-02-28,female,Alice
IZ*ONE (아이즈원) - 'FIESTA' Dance Practice,kCk8x__pXvE,2020-02-28,female,IZ*ONE
Weki Meki 위키미키 - DAZZLE DAZZLE SPECIAL DANCE PRACTICE,gZI8TrOZDuw,2020-02-28,female,Weki Meki
"이달의 소녀 (LOONA) ""So What"" Dance Practice Video",Rr89LafnGKI,2020-03-02,female,LOONA
"AleXa (알렉사) - ""Do Or Die"" (Dance Practice 안무 연습 영상)",GkdSgO6V2QE,2020-03-10,female,AleXa
"AleXa (알렉사) - ""A.I TROOPER"" (Dance Practice 안무 연습 영상)",iVni3fgwGh4,2020-03-10,female,AleXa
MAMAMOO 「Shampoo」dance practice映像,MSCSKmkMyKs,2020-03-10,female,Mamamoo
"ITZY ""WANNABE"" Dance Practice",G_Lhkhxl8BU,2020-03-11,female,ITZY
Favorite (페이버릿) - Party Time 안무영상 (Dance Practice),CynTL7XceEM,2017-07-19,female,Favorite
Favorite (페이버릿) - 어느 별에서 왔니? (Where are you from?) 안무영상 (Dance Practice),MMyV_RZoHO4,2018-05-15,female,Favorite
"ITZY ""WANNABE"" Dance Practice (Moving Ver.)",Y0349sjf0Vs,2020-03-17,female,ITZY
SATURDAY(세러데이) 와이파이 (WiFi) Dance Practice,IoRJjAAkFg4,2020-03-25,female,Saturday
SATURDAY(세러데이) 뿅 (BByong) Dance Practice,fsOtPupc6Qw,2020-03-29,female,Saturday
FAVORITE(페이버릿) 또 LIE(LIE) - Dance Practice Video,XUlwiWo2vQA,2020-04-02,female,Favorite
시그니처(cignature) - '아싸 (ASSA)' Dance Practice Video,r3PeZbjc_ls,2020-04-12,female,cignature
APRIL(에이프릴) - LALALILALA _ 안무 영상 (Dance Practice),BTKiqYQBUAs,2020-04-23,female,April
BVNDIT(밴디트) - “Children” Dance Practice,0O_xSsE4dOQ,2020-04-24,female,BVNDIT
오마이걸(OH MY GIRL)_살짝 설렜어 (Nonstop) Dance Practice Video,t5CwVVIp934,2020-05-03,female,Oh My Girl
"TWICE(트와이스) ""Feel Special"" Dance Practice Video COMPLETE Ver.",yChy1KRIWAY,2020-05-12,female,Twice
BVNDIT(밴디트) - “JUNGLE” Dance Practice,pV22_6Zil3Q,2020-05-20,female,BVNDIT
APRIL(에이프릴) - 인형 _ 안무 영상 (Dance Practice),r5UvjouQWjI,2020-05-22,female,April
"SECRET NUMBER ""Who Dis?"" Dance Practice (Moving ver.)",HFt5y9UD4V4,2020-06-01,female,Secret Number
APRIL - Oops I'm Sorry _ 안무 영상 (Dance Practice),Y-T1Mi1BFRI,2020-06-04,female,April
TWICE “MORE & MORE” Dance Practice Video,xiMNWJr8J1w,2020-06-06,female,Twice
"SECRET NUMBER ""Who Dis?"" Dance Practice (Fixed ver.)",G_xtBAW2xO4,2020-06-19,female,Secret Number
IZ*ONE (아이즈원) - 환상동화 (Secret Story of the Swan) Dance Practice,1yQjsWhOuJI,2020-06-23,female,IZ*ONE
"ITZY ""달라달라(DALLA DALLA)"" Dance Practice (2020 Ver.)",Q-CYEtcBtDc,2020-06-22,female,ITZY
BVNDIT(밴디트) - “Come and Get It” Dance Practice,olbrwtXOTBQ,2020-06-17,female,BVNDIT
"SECRET NUMBER ""Holiday"" Dance Practice (Fixed ver.)",yOXPifAJkmY,2020-06-26,female,Secret Number
3YE(써드아이) - YESSIR | DANCE PRACTICE ver.,NMgHUHSYcmE,2020-07-04,female,3YE
"[핑크판타지] ""그림자 (Shadow Play)"" Dance Practice (PinkFantasy)",F8v9N9uyPJQ,2020-07-14,female,Pink Fantasy
"AleXa (알렉사) - ""VILLAIN"" (Dance Practice 안무 연습 영상)",EZJ7Xfhk93U,2020-07-23,female,AleXa
에이프릴(APRIL) - Now or Never _ 안무 영상 (Dance Practice),1mN06MYLUkw,2020-07-30,female,April
[Dance Practice] 소유 (SOYOU) - GOTTA GO (가라고),vPAwP22qIwk,2020-08-01,female,Soyou
