original_name,vlink,releasedate,members,group_name
CIX (씨아이엑스) - 'Movie Star' Dance Practice Video,zQ3wCSoAGM8,2019-08-05,male,CIX
NCT DREAM 엔시티 드림 'BOOM' Dance Practice (3D Audio),5kYEiCIbtRE,2019-08-05,male,NCT DREAM
[Dance Practice] 강다니엘(KANGDANIEL) - I HOPE,4a6W8qoD_Ps,2019-08-08,male,Kang Daniel
IN2IT - Run Away DANCE PRACTICE VIDEO,HqyX3FIfzIs,2019-08-08,male,SKYE
EXO 엑소 'Monster' Dance Practice,e8q3OET5dwk,2016-06-30,male,EXO
EXO 엑소 '전야 (前夜) (The Eve)' Dance Practice,b6ycw7p9-bE,2017-08-03,male,EXO
CIX (씨아이엑스) - 'Movie Star' Special Dance Practice (Profile ver.),EkpXToMA-HM,2019-08-16,male,CIX
"[Dance Practice] UP10TION (업텐션) _ 위험해 (SO, DANGEROUS) 연습실 ver.",NzZnmfiKFW8,2015-10-10,male,UP10TION
[Dance Practice] UP10TION(업텐션)_여기여기 붙어라(Catch me!) Hoodie ver.,j6iepMx0K_M,2015-12-07,male,UP10TION
[Dance Practice] UP10TION(업텐션)_나한테만 집중해(ATTENTION) Name tag Ver.,6L9l5Ozx6ss,2016-04-20,male,UP10TION
[Dance Practice] 강다니엘(KANGDANIEL) - Horizon,1q05M3yi2jk,2019-08-23,male,Kang Daniel
NCT DREAM 엔시티 드림 'BOOM' Dance Practice (하복 Ver.),x-3A1qc1DHc,2019-08-24,male,NCT DREAM
"GOT7 ""Look"" Dance Practice (Boyfriend Ver.)",BV_rF1ECssM,2018-03-29,male,GOT7
"GOT7 ""You Are"" Dance Practice",jh2j1TWal2A,2017-10-13,male,GOT7
"GOT7(갓세븐) ""하드캐리"" Dance Practice Video",-XbNyh4GP-0,2016-10-01,male,GOT7
"GOT7 ""Teenager"" Dance Practice",4y9aLycW8Go,2017-10-17,male,GOT7
"GOT7 ""Never Ever"" Dance Practice (Unlock Ver.)",CkteMKxRMVM,2017-04-18,male,GOT7
"GOT7 ""Fly"" Dance Practice (Fly High Ver.)",oV66S5pSGWk,2016-03-27,male,GOT7
